iter	Passed	Remaining
794	8159	2104
795	8162	2091
796	8165	2079
797	8169	2067
798	8170	2055
799	8189	2047
800	8191	2034
801	8200	2024
802	8233	2020
803	8254	2012
804	8271	2003
805	8272	1991
806	8273	1978
807	8275	1966
808	8276	1954
809	8277	1941
810	8278	1929
811	8280	1917
812	8281	1904
813	8284	1892
814	8311	1886
815	8312	1874
816	8313	1862
817	8315	1850
818	8318	1838
819	8321	1826
820	8322	1814
821	8323	1802
822	8325	1790
823	8348	1783
824	8349	1771
825	8350	1759
826	8351	1747
827	8352	1735
828	8382	1729
829	8384	1717
830	8385	1705
831	8386	1693
832	8439	1691
833	8447	1681
834	8448	1669
835	8461	1659
836	8462	1648
837	8468	1637
838	8482	1627
839	8483	1615
840	8484	1604
841	8486	1592
842	8491	1581
843	8565	1583
844	8566	1571
845	8567	1559
846	8568	1547
847	8594	1540
848	8596	1528
849	8597	1517
850	8598	1505
851	8599	1493
852	8602	1482
853	8604	1470
854	8613	1460
855	8614	1449
856	8631	1440
857	8632	1428
858	8633	1417
859	8634	1405
860	8635	1394
861	8636	1865	8670	1341
866	8677	1331
867	8708	1324
868	8709	1312
869	8714	1302
870	8714	1290
871	8715	1279
872	8757	1274
873	8758	1262
874	8759	1251
875	8762	1240
876	8764	1229
877	8766	1218
878	8767	1206
879	8768	1195
880	8769	1184
881	8770	1173
882	8771	1162
883	8773	1151
884	8775	1140
885	8776	1129
886	883	8767	1887	884	8769	1139
885	8812	1133
886	8813	1122
887	8821	1112
888	8822	1101
889	8824	1090
890	8873	1085
891	8874	1074
892	8875	1063
893	8879	1052
894	8881	1041
895	8883	1031
896	8885	1020
897	8887	1009
898	8889	998
899	8900	988
900	8901	978
901	8905	967
902	8907	956
903	8919	947
904	8921	936
905	8924	925
906	8933	916
907	8935	905
908	8936	894
909	8937	883
910	8944	873
911	8959	864
912	8964	854
913	8965	843
914	8993	835
915	8995	824
916	8996	814
917	8998	803
918	9000	793
919	9003	782
920	9006	772
921	9034	764
922	9049	754
923	9051	744
924	9052	733
925	9053	723
926	9070	714
927	9072	703
928	9073	693
929	9086	683
930	9102	674
931	9105	664
932	9107	653
933	9116	644
934	9117	633
935	9118	623
936	9119	613
937	9121	602
938	9124	592
939	9125	582
940	9127	572
941	9128	562
942	9129	551
943	9131	541
944	9150	532
945	9168	523
946	9174	513
947	9180	503
948	9186	493
949	9187	483
950	9189	473
951	9193	463
952	9194	453
953	9201	443
954	9202	433
955	9205	423
956	9206	413
957	9208	403
958	9209	393
959	9211	383
960	9212	373
961	92965	9245	325
966	9249	315
967	9256	305
968	9261	296
969	9266	286
970	9275	277
971	9298	267
972	9300	258
973	9301	248
974	9304	238
975	9305	228
976	9310	219
977	9311	209
978	9313	199
979	9314	190
980	9315	180
981	9317	170
982	9318	161
983	9319	151
984	9320	141
985	9322	132
986	9326	122
987	9328	113
988	9332	103
989	9334	94
990	9337	84
991	9338	75
992	9340	65
993	9341	56
994	9342	46
995	9344	37
996	9345	28
997	9346	18
998	9348	9
999	9349	0
996	9326	28
997	9327	18
998	9328	9
999	9330	0
